,id,dt,i,c,m,p,t
238,SXM,2024-06-14T09:00:42+02:00,R1.00,1.00,,,clickacompany
239,SBP,2024-06-14T17:06:29+02:00,R65.61,65.61,,,clickacompany
240,SAC,2024-06-14T16:43:29+02:00,R2.47,2.40,0.07,2.92%,clickacompany
241,SLG,2024-06-14T17:06:29+02:00,R0.50,0.50,,,clickacompany
242,SAP,2024-06-14T17:02:46+02:00,R49.43,49.00,0.43,0.88%,clickacompany
243,SAR,2024-06-14T17:06:29+02:00,R5.59,5.59,,,clickacompany
244,SBKP,2024-06-14T17:06:29+02:00,R0.66,0.66,,,clickacompany
245,SBK,2024-06-14T17:06:02+02:00,R199.36,188.83,10.53,5.58%,clickacompany
246,SBPP,2024-06-14T17:00:24+02:00,R84.49,84.10,0.39,0.46%,clickacompany
247,SCD,2024-06-14T17:06:29+02:00,R14.69,14.69,,,clickacompany
248,SEA,2024-06-14T14:11:45+02:00,R8.40,8.45,-0.05,-0.59%,clickacompany
249,SEB,2024-06-14T16:45:50+02:00,R1.59,1.36,0.23,16.91%,clickacompany
250,SEP,2024-06-14T17:06:29+02:00,R1.08,1.08,,,clickacompany
251,SFN,2024-06-14T17:06:29+02:00,R17.50,17.50,,,clickacompany
252,SHC,2024-06-14T17:00:55+02:00,R31.80,32.89,-1.09,-3.31%,clickacompany
253,SHG,2024-06-14T17:00:58+02:00,R7.86,8.01,-0.15,-1.87%,clickacompany
254,SHP,2024-06-14T17:05:24+02:00,R264.60,253.19,11.41,4.51%,clickacompany
255,SSW,2024-06-14T17:06:24+02:00,R20.04,19.93,0.11,0.55%,clickacompany
256,SLM,2024-06-14T17:06:00+02:00,R76.48,73.69,2.79,3.79%,clickacompany
257,SNT,2024-06-14T17:06:35+02:00,R294.10,292.00,2.10,0.72%,clickacompany
258,SNV,2024-06-14T14:16:36+02:00,R7.90,7.96,-0.06,-0.75%,clickacompany
259,SOH,2024-06-14T17:06:29+02:00,R1.59,1.59,,,clickacompany
260,SOLBE1,2024-06-14T17:06:29+02:00,R119.00,119.00,,,clickacompany
261,SOL,2024-06-14T17:02:36+02:00,R115.96,117.64,-1.68,-1.43%,clickacompany
262,SDL,2024-06-14T17:06:29+02:00,R3.75,3.75,,,clickacompany
263,SSU,2024-06-14T17:00:24+02:00,R5.50,5.24,0.26,4.96%,clickacompany
264,SPG,2024-06-14T16:49:46+02:00,R27.85,27.50,0.35,1.27%,clickacompany
265,SPP,2024-06-14T17:00:31+02:00,R114.34,114.93,-0.59,-0.51%,clickacompany
266,SRE,2024-06-14T17:00:06+02:00,R22.51,23.19,-0.68,-2.93%,clickacompany
267,SSK,2024-06-14T17:00:25+02:00,R1.23,1.15,0.08,6.96%,clickacompany
268,SSS,2024-06-14T17:00:58+02:00,R13.50,13.20,0.30,2.27%,clickacompany
269,SDO,2024-06-14T17:00:19+02:00,R4.70,4.65,0.05,1.08%,clickacompany
270,SUI,2024-06-14T16:49:33+02:00,R35.91,36.02,-0.11,-0.31%,clickacompany
271,SUR,2024-06-14T16:08:12+02:00,R30.00,29.98,0.02,0.07%,clickacompany
272,SYG,2024-06-14T15:16:38+02:00,R20.84,20.87,-0.03,-0.14%,clickacompany
273,TBS,2024-06-14T17:00:25+02:00,R200.00,198.27,1.73,0.87%,clickacompany
274,TCP,2024-06-14T17:00:43+02:00,R2.80,2.68,0.12,4.48%,clickacompany
275,TEX,2024-06-14T09:04:28+02:00,R3.25,3.20,0.05,1.56%,clickacompany
276,TFGP,2024-06-14T17:06:29+02:00,R1.01,1.01,,,clickacompany
277,TFG,2024-06-14T17:03:11+02:00,R119.04,113.50,5.54,4.88%,clickacompany
278,THA,2024-06-14T17:00:03+02:00,R18.55,18.60,-0.05,-0.27%,clickacompany
279,TGA,2024-06-14T17:00:40+02:00,R120.20,120.50,-0.30,-0.25%,clickacompany
280,TKG,2024-06-14T16:49:55+02:00,R24.18,23.60,0.58,2.46%,clickacompany
281,TLM,2024-06-14T17:06:29+02:00,R1.20,1.20,,,clickacompany
282,TMT,2024-06-14T10:39:54+02:00,R2.10,2.09,0.01,0.48%,clickacompany
283,TON,2024-06-14T17:06:29+02:00,R4.04,4.04,,,clickacompany
284,TPC,2024-06-14T15:42:48+02:00,R31.00,31.77,-0.77,-2.42%,clickacompany
285,TRE,2024-06-14T17:08:04+02:00,R7.20,7.29,-0.09,-1.23%,clickacompany
286,TRL,2024-06-14T16:49:35+02:00,R1.98,1.60,0.38,23.75%,clickacompany
287,TRU,2024-06-14T17:07:48+02:00,R87.12,82.52,4.60,5.57%,clickacompany
288,TSG,2024-06-14T16:49:41+02:00,R11.00,10.74,0.26,2.42%,clickacompany
289,TTO,2024-06-14T17:00:38+02:00,R0.29,0.26,0.03,11.54%,clickacompany
290,UPL,2024-06-14T17:06:29+02:00,R22.00,22.00,,,clickacompany
291,VIS,2024-06-14T09:14:05+02:00,R0.02,0.02,,,clickacompany
292,VKE,2024-06-14T17:00:04+02:00,R15.01,14.86,0.15,1.01%,clickacompany
