,0,1,2
213,PURPLE,Investment Banking and Brokerage Services,PURPLE PPE Purple Group Ltd. Purple-Group-Ltd.
214,PUTPROP,Real Estate Investment and Services,PUTPROP PPR Putprop Ltd. Putprop-Ltd.
215,PREMIER,Food Producers,PREMIER PMR Premier Group Ltd. Premier-Group-Ltd.
216,PHP,Real Estate Investment Trusts,PHP PHP Primary Health Properties plc Primary-Health-Properties-plc
217,PROSUS,Software and Computer Services,PROSUS PRX Prosus NV Prosus-NV
218,PSV,Industrial Engineering,PSV PSV PSV Holdings Ltd. PSV-Holdings-Ltd.
219,QUANTUM,Food Producers,QUANTUM QFH Quantum Foods Holdings Ltd. Quantum-Foods-Holdings-Ltd.
220,QUILTER,Investment Banking and Brokerage Services,QUILTER QLT Quilter plc Quilter-plc
221,RAC PREFS,Preference Shares,RAC PREFS RACP RECM & Calibre Ltd. RECM-&-Calibre-Ltd.
222,Precious Metals and Mining,Royal Bafokeng Platinum Ltd. Royal-Bafokeng-Platinum-Ltd.,
223,RAUBEX,Construction and Materials,RAUBEX RBX Raubex Group Ltd. Raubex-Group-Ltd.
224,RCL,Food Producers,RCL RCL RCL Foods Ltd. RCL-Foods-Ltd.
225,REDEFINE,Real Estate Investment Trusts,REDEFINE RDF Redefine Properties Ltd. Redefine-Properties-Ltd.
226,REBOSISA,Real Estate Investment Trusts,REBOSISA REA Rebosis Property Fund Ltd. Rebosis-Property-Fund-Ltd.
227,REBOSIS,Real Estate Investment Trusts,REBOSIS REB Rebosis Property Fund Ltd. Rebosis-Property-Fund-Ltd.
228,REINET,Investment Banking and Brokerage Services,REINET RNI Reinet Investments SCA Reinet-Investments-SCA
229,REMGRO,Investment Banking and Brokerage Services,REMGRO REM Remgro Ltd. Remgro-Ltd.
230,RENERGEN,Alternative Energy,RENERGEN REN Renergen Ltd. Renergen-Ltd.
231,RESILIENT,Real Estate Investment Trusts,RESILIENT RES Resilient REIT Ltd. Resilient-REIT-Ltd.
232,RFG,Food Producers,RFG RFG RFG Holdings Ltd. RFG-Holdings-Ltd.
233,RHBOPHELO,Closed End Investments,RHBOPHELO RHB RH Bophelo Ltd. RH-Bophelo-Ltd.
234,REUNERT,Electronic and Electrical Equipment,REUNERT RLO Reunert Ltd. Reunert-Ltd.
235,RMBH,Investment Banking and Brokerage Services,RMBH RMH RMB Holdings Ltd. RMB-Holdings-Ltd.
236,RANGOLD,Precious Metals and Mining,RANGOLD RNG Randgold & Exploration Co Ltd. Randgold-&-Exploration-Co-Ltd.
237,REX TRUE -N-,Retailers,REX TRUE -N- RTN Rex Trueform Group Ltd. Rex-Trueform-Group-Ltd.
238,REX TRUE6%,Preference Shares,REX TRUE6% RTOP Rex Trueform Group Ltd. Rex-Trueform-Group-Ltd.
239,REX TRUE,Retailers,REX TRUE RTO Rex Trueform Group Ltd. Rex-Trueform-Group-Ltd.
240,SOUTH32,Industrial Metals and Mining,SOUTH32 S32 South32 Ltd. South32-Ltd.
241,SABKABILI,Open End and Miscellaneous Investment Vehicles,SABKABILI SZK SAB Zenzele Kabili Holdings (RF) Ltd. SAB-Zenzele-Kabili-Holdings-(RF)-Ltd.
242,SEAM,Industrial Metals and Mining,SEAM SXM Sable Exploration and Mining Ltd. Sable-Exploration-and-Mining-Ltd.
243,SABCAP,Investment Banking and Brokerage Services,SABCAP SBP Sabvest Capital Ltd. Sabvest-Capital-Ltd.
244,SA CORP,Real Estate Investment Trusts,SA CORP SAC SA Corporate Real Estate Ltd. SA-Corporate-Real-Estate-Ltd.
245,SALUNGANO,"Oil, Gas and Coal",SALUNGANO SLG Salungano Group Ltd. Salungano-Group-Ltd.
246,SAPPI,Industrial Materials,SAPPI SAP Sappi Ltd. Sappi-Ltd.
247,SAFARI,Real Estate Investment Trusts,SAFARI SAR Safari Investments RSA Ltd. Safari-Investments-RSA-Ltd.
248,STANBANK6.5,Preference Shares,STANBANK6.5 SBKP Standard Bank Group Ltd. Standard-Bank-Group-Ltd.
249,STANBANK,Banks,STANBANK SBK Standard Bank Group Ltd. Standard-Bank-Group-Ltd.
250,STANBANK-P,Preference Shares,STANBANK-P SBPP Standard Bank Group Ltd. Standard-Bank-Group-Ltd.
251,SERE,Real Estate Investment Trusts,SERE SCD Schroder European Real Estate Investment Trust plc Schroder-European-Real-Estate-Investment-Trust-plc
252,SPEARREIT,Real Estate Investment Trusts,SPEARREIT SEA Spear REIT Ltd. Spear-REIT-Ltd.
